Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Software Engineer in Test - Playwright with Typescript,Vidorra Consulting Group,"Visa Sponsorship is available for this opportunity. Our reputed client based out of the Houston area is seeking for multiple Sr. Full Stack Quality Engineer with strong hands-on Manual testing experience on cloud-based infrastructure and services in Serverless, Event driven architectures on Azure cloud. Deep understanding and problem-solving ability of various complexities, experience collaborating on teams with multiple disciplines (DevOps, Data engineers, Software engineers). Self-organized an","Dallas, TX, USA",Full-time,Data Engineer Internship,60+ days ,2024-03-05 03:15:44.049238,8 days ago ,,https://www.dice.com/company/RTX1a5d37?companyname=Vidorra%20Consulting%20Group,49
Lead Salesforce Developer,Incedo Inc,"Position: Salesforce Technical Lead  Location: Pittsburgh, PA (remote) Duration: Full time As a Salesforce Lead with expertise in Experience Cloud, Service Cloud, and Marketing Cloud, you will play a critical role in the design, development, and maintenance of our client s Salesforce ecosystem. Must have experience in working with globally distributed teams and agile delivery. You will collaborate with cross-functional teams to implement and optimize solutions that enhance customer experiences,","Dallas, TX, USA",Full-time,Data Engineer Internship,3 days ,2024-05-01 03:15:44.050238,,,https://www.dice.com/company/10476889?companyname=Incedo%20Inc,49
Tricentis Tosca Neoload Architect,SumasEdge Corporation,"We are seeking a skilled and experienced Tricentis Tosca & NeoLoad Architect to join our dynamic team. The ideal candidate will have a strong background in software testing, particularly in test automation using Tricentis Tosca, as well as performance testing using NeoLoad. This role will involve designing, implementing, and optimizing test automation and performance testing solutions to ensure the quality and scalability of our software products.  Responsibilities:  Design and implement test au","Dallas, TX, USA","Third Party, Contract",Data Engineer Internship,23 days ,2024-04-11 03:15:44.050238,16 hours ago ,,https://www.dice.com/company/90859492?companyname=SumasEdge%20Corporation,49
Azure Cloud/DevOps Engineer -  Lead,Astir IT Solutions,"Experience as a cloud/DevOps engineer with Strong scripting skills. Experience with Microsoft Azure cloud services, including IaaS and PaaS technologies. Experience with automation tools such as Azure DevOps, Ansible, Terraform, or Chef. Build and maintain CI/CD pipelines to enable delivery of cloud-native applications. Implement infrastructure as code to automate the deployment of infrastructure resources. Design and implement monitoring and logging solutions for the cloud environment. Collabor","Dallas, TX, USA","Third Party, Contract",Data Engineer Internship,60+ days ,2024-03-05 03:15:44.051238,12 hours ago ,,https://www.dice.com/company/10110032?companyname=Astir%20IT%20Solutions,49
Sales Leader - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","Dallas, TX, USA","Full-time, Third Party",Data Engineer Internship,60+ days ,2024-03-05 03:15:44.052238,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,49
"ServiceNow Architect field service module mandatory , Remote",Spiceorb,"Hi, This is Upasna from Spiceorb.we have opening for Servicenow Architect role.If you are available and interested send your updated resume to  ServiceNow Architect, remote role The ServiceNow Architect plays a critical role in the design, implementation, and optimization of ServiceNow solutions within the organization.This position requires a deep understanding of the ServiceNow platform, IT service management processes, and business requirements to architect solutions that drive efficiency, au","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,9 days ,2024-04-25 03:15:44.052238,7 days ago ,,https://www.dice.com/company/91109480?companyname=Spiceorb,49
Automation Architect,Qualibar,"Job Title: Automation Architect Position: Full Time Client: PWC Location: Remote//Remote/Hybrid  Description: Experience in creation of application specific test strategy and Automation test plan Expertise in creation / maintenance of Test Automation framework (Hybrid / TDD / BDD) from scratch Expertise in creation of API / UI Automated test scripts using Selenium with Java & RestAPI/SoapUI  Exposure and experience in Katalon, Parasoft and Azure ADO are added advantage Hands on experience in del","Dallas, TX, USA",Full-time,Data Engineer Internship,60+ days ,2024-03-05 03:15:44.053216,19 hours ago ,,https://www.dice.com/company/91132260?companyname=Qualibar,49
Kafka Admin,Galax-Esystems Corp,"Role Kafka Tech Admin Location: Remote Duration:6-12 Months Job Responsibility Primary responsibility of Confluent Platform Administrator will be to build, test and maintain Kafka Cluster and its eco-system which is deployed to run Data Streaming use cases for various business units Experience Overall 5+ years of experience out of which 2+ years around Confluent Platform administration Mandatory Job Requirements Manage single and multi-node Kafka cluster deployed on VM, Docker and Kubernetes Con","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,13 hours ,2024-05-03 14:15:44.053216,,,https://www.dice.com/company/10230239?companyname=Galax-Esystems%20Corp,49
Cloud Architect-Google Cloud Platform,Cloudpaths,"Looking for a Google Cloud Platform Engineer/Google Cloud Platform Developer for one of my direct clients in US. The client is neither looking for core data engineer nor DevOps/SRE. Required: - Experience in leading the architecture and design of complex cloud solutions on Google Cloud Platform (Google Cloud Platform) to meet business objectives and performance requirements.Experience in developing and implement data storage and management strategies on Google Cloud Platform, utilizing services","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,16 hours ,2024-05-03 11:15:44.054238,,,https://www.dice.com/company/91016258?companyname=Cloudpaths,49
Machine Learning Operations (MLOps) Engineer Remote Rate $50/hr on C2C,"ICS Global Soft, Inc.","Role: Machine Learning Operations (MLOps) Engineer . Proficiency in data science tools such as Pandas, Notebooks, Numpy, Scipy.Experience with both relational and non-relational databases.Strong track record of fine-tuning, running large-scale training jobs, and managing model servers.","Dallas, TX, USA",Contract,Data Engineer Internship,4 days ,2024-04-30 03:15:44.055294,,,https://www.dice.com/company/90962964?companyname=ICS%20Global%20Soft%2C%20Inc.,49
Role : Sr.Machine Learning Operations Engineer - Remote ( Full Time ),Radiantze,"Job Summary: Role : Sr.Machine Learning Operations EngineerRemoteFulltime  JD: As a Senior Machine Learning Operations (MLOps) Engineer, you will be instrumental in deploying robust, scalable machine learning solutions. You will ensure these are tailored to meet the expansive needs of CVS Health s varied healthcare services. This role demands a high level of proficiency in machine learning technologies and programming, coupled with rigorous vetting processes to maintain the highest standards of","Dallas, TX, USA","Full-time, Third Party",Data Engineer Internship,3 days ,2024-05-01 03:15:44.056232,,,https://www.dice.com/company/91140385?companyname=Radiantze,49
GenAI Cloud Engineer/MLOps Engineer,CrackaJack Digital Solutions,"We are seeking a highly skilled Senior Cloud Engineer with expertise in provisioning AI resources on the Azure platform (or Google Cloud Platform). The ideal candidate will have extensive experience in deploying and managing AI/ML solutions while adhering to enterprise security standards. Additionally, familiarity with GenAI architecture and other cloud providers' AI/ML offerings is highly desirable. Key Responsibilities: Provision and automate cloud infrastructure/platforms to support AI resour","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,17 days ,2024-04-17 03:15:44.057217,,,https://www.dice.com/company/91021502?companyname=CrackaJack%20Digital%20Solutions,49
AI/ML Engineer,Refactor Talent,"Applied AI/ML Engineer Location: US-Based Remote  Salary: Up to $220,000 per annum About Us: At Refactor Talent, we're at the forefront of innovation, offering comprehensive talent solutions that drive success in the dynamic and evolving sectors we serve. Our commitment to excellence has positioned us as a trusted partner for some of the most critical and innovative projects across industries. We are currently seeking an exceptional Applied AI/ML Engineer to join our client within the government","Dallas, TX, USA",Full-time,Data Engineer Internship,15 days ,2024-04-19 03:15:44.057217,,,https://www.dice.com/company/91142834?companyname=Refactor%20Talent,49
IT Operations Research & Optimization Engineer,"InnoCore Solutions, Inc.","Requirements: 2+ years of experience with Java and commercial solvers (FICO Xpress, CPLEX, Gurobi)Must be familiar with at least 1 optimization language (IBM CPLEX, GUROBI, or FICO Xpress. FICO Xpress is preferred).2+ years of experience developing and implementing large scale optimization models using MIP and heuristicsDepth of knowledge in at least one OR skill area (e.g., optimization, simulation, statistics)Practical experience with data extraction, cleaning, and analysisDemonstrated aptitud","Dallas, TX, USA",Contract,Data Engineer Internship,2 days ,2024-05-02 03:15:44.058216,22 hours ago ,,https://www.dice.com/company/10120357?companyname=InnoCore%20Solutions%2C%20Inc.,49
Adobe AEP/ CJA/ AJO/ Personalization engineer,Central Business Solutions,"Title: Adobe AEP/ CJA/ AJO/ Personalization engineer Location: 100% Remote Job Description: Lead execution of the Adobe marketing capabilities and leveraging Adobe suites such as Adobe Analytics, Audience Manager, AEM, Target, and Adobe Journey Optimizer.Utilize a range of Adobe tools including Web SDK, XDM schemas, and Adobe Experience Platform tools for seamless data integration, analysis, and optimization.Collaborate across teams to integrate and optimize the usage of Adobe Experience Platfor","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,60+ days ,2024-03-05 03:15:44.059216,12 hours ago ,,https://www.dice.com/company/10121769?companyname=Central%20Business%20Solutions,49
Conversational Engineer - Vertex AI,Photon Interactive UK Limited,"Who are we? For the past 20 years, Photon have powered many Digital Experiences for the Fortune 500. Since 1999, we have grown from a few people to more than 6000 team members across the globe that are engaged in various Digital Modernization. Please visit for more info and latest updates. Requirement Job Description: We are seeking a highly skilled Senior AI/NLP Engineer with expertise in Natural Language Processing (NLP) and Machine Learning (ML) to join our team. The ideal candidate will have","Dallas, TX, USA","Full-time, Third Party",Data Engineer Internship,31 days ,2024-04-03 03:15:44.059216,25 days ago ,,https://www.dice.com/company/10462843?companyname=Photon%20Interactive%20UK%20Limited,49
Azure Databricks Engineer,SumasEdge Corporation,"Responsibilities: Hands on development and support of new or existing data applications.Work closely with business and analysts to understand data and business processes and make recommendations to clients as requested on best practices or long-term solutions to resolve current issues and also for future system designWorks closely with Application and Enterprise Architects to create/review low level implementation designs, understand high level data flow designs developed by data architects.Prov","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,2 days ,2024-05-02 03:15:44.060216,16 hours ago ,,https://www.dice.com/company/90859492?companyname=SumasEdge%20Corporation,49
ACI Datacenter Engineer,World Wide Technology,"Title: ACI Datacenter EngineerLocation: Remote but must be in CST or PST (LATAM is acceptable)Duration: 6-12 Months CTH Responsibilities:Configuration Management: Configure and manage ACI fabric components including spine switches, leaf switches, application profiles, tenants, endpoint groups (EPGs), contracts, and policies.Troubleshooting: Troubleshoot network-related issues within the ACI fabric and provide timely resolution to ensure maximum uptime and performance.Documentation: Maintain accu","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,2 days ,2024-05-02 03:15:44.061238,,,https://www.dice.com/company/10111827a?companyname=World%20Wide%20Technology,49
Sr IAM Engineer,Symantrix Inc,"Work within a team of highly talented engineers, product and architects to design and develop a highly scalable and configurable Identity PlatformAbility to drive design meetings to propose, discuss and refine new features and functionality.You must have significant business knowledge and technical expertise in application design and architecture, as well as knowledge of related domains of technical architectures (network, security, and infrastructure engineering), information architectures, and","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,1 day ,2024-05-03 03:15:44.061238,,,https://www.dice.com/company/91119551?companyname=Symantrix%20Inc,49
